session_id,round_idx,input_len,output_len,prefix_len,tool_wait_after_ms
1,64,1356,299,126020,36558.000000
1,65,2476,664,127375,37193.000000
1,66,3167,1961,129850,272348.000000
1,67,2167,299,133016,610814.000000
1,68,135581,152,0,212062.000000
1,69,485,120,135580,68.000000
1,70,163,165,136064,2294065.000000
1,71,136661,350,0,28864.000000
1,72,585,70,136660,84.000000
1,73,89,500,137244,88.000000
1,74,525,148,137332,81.000000
1,75,197,844,137856,51.000000
1,76,899,214,138052,0.000000
1,77,227,3910,138950,6648.000000
1,78,4030,59,139174,0.000000
1,79,144479,860,0,10970.000000
1,80,1038,208,144476,5584.000000
1,81,363,77,145513,2533.000000
1,82,305,462,145875,0.000000
1,83,476,214,146179,3417.000000
1,84,373,598,146652,5448.000000
1,85,1950,1113,147024,21441.000000
1,86,1198,16,148973,0.000000
1,87,712,408,150170,12391.000000
1,88,1176,1179,150879,43449.000000
1,89,1608,2587,152054,120.000000
1,90,2629,72,153661,97.000000
1,91,2719,499,153661,66038.000000
1,92,584,525,156379,46020.000000
1,93,783,475,156962,77595.000000
1,94,558,345,157744,154577.000000
1,95,463,827,158301,52439.000000
1,96,938,350,158763,5392.000000
1,97,457,489,159700,5157.000000
1,98,896,1007,160156,8059.000000
1,99,1293,1652,161051,7050541.000000
1,100,167099,220,0,86.000000
1,101,270,77,167096,88.000000
1,102,105,84,167365,55.000000
1,103,1793,1658,167365,18707.000000
1,104,1704,133,169157,0.000000
1,105,387,1926,170860,104.000000
1,106,3505,1197,171244,78.000000
1,107,1244,50,174748,0.000000
1,108,99,1114,176039,97.000000
1,109,1182,464,176135,73.000000
1,110,566,309,177316,116.000000
1,111,363,26,177881,0.000000
1,112,99,110,178243,0.000000
1,113,948,1766,178339,99.000000
1,114,1822,306,179284,95.000000
1,115,353,286,181105,79.000000
1,116,333,68,181457,0.000000
1,117,119,378,181938,51.000000
1,118,446,41,182054,0.000000
2,0,10873,329,18499,6521.000000
2,1,659,150,29369,809.000000
2,2,34826,199,29963,79.000000
2,3,6161,3836,60536,0.000000
2,4,260,217,70530,603.000000
2,5,6965,317,70787,74.000000
2,6,2429,131,77751,79.000000
2,7,271,122,80179,39.000000
2,8,544,782,80449,63.000000
2,9,1909,990,80992,0.000000
2,10,36,152,83888,95.000000
2,11,311,119,83921,72.000000
2,12,204,152,84231,83.000000
2,13,376,1622,84231,58.000000
2,14,3607,771,84606,398330.000000
2,15,89235,288,0,472.000000
2,16,2526,1323,89232,12230.000000
2,17,3701,242,89561,3833.000000
2,18,313,411,93261,6525.000000
2,19,463,421,93573,2503.000000
2,20,473,425,94035,2191.000000
2,21,477,95,94507,73.000000
2,22,2879,274,94507,0.000000
2,23,148,321,97657,879.000000
2,24,522,247,97802,126556.000000
2,25,488,211,98323,283.000000
2,26,2516,363,98708,1825.000000
2,27,6835,630,99763,97.000000
2,28,12769,451,103971,13525.000000
2,29,1615,474,116739,5399.000000
2,30,1100,316,118353,5980.000000
2,31,1164,5092,119452,25312.000000
2,32,5203,177,120615,3171.000000
2,33,703,193,125817,4848.000000
2,34,212,273,126519,3159.000000
2,35,292,346,126730,18825.000000
2,36,1236,229,127021,2886.000000
2,37,1087,191,128256,3245.000000
2,38,491,153,129342,3728.000000
2,39,1134,197,129832,5015.000000
2,40,216,202,130965,7536.000000
2,41,604,157,131180,5960.000000
2,42,1279,178,131783,3907.000000
2,43,263,201,133061,3464.000000
2,44,707,161,133323,3209.000000
2,45,433,1433,134029,65.000000
2,46,1753,189,134461,325084.000000
2,47,136468,366,0,6989.000000
2,48,450,403,136467,6082.000000
2,49,530,176,136916,4286.000000
2,50,202,658,137445,0.000000
2,51,254,135,138302,123.000000
2,52,156,268,138553,2884.000000
2,53,3552,993,138708,92118.000000
2,54,1418,914,142259,13944.000000
2,55,960,149,143676,4424.000000
2,56,174,258,144635,0.000000
2,57,44,353,145064,889.000000
2,58,620,303,145105,113.000000
2,59,1238,770,145674,31886.000000
2,60,808,422,146911,9493.000000
2,61,755,2503,147718,15694.000000
2,62,3809,1877,148472,3376.000000
2,63,1914,561,152280,9564.000000
2,64,592,176,154193,4082.000000
2,65,1856,366,154784,0.000000
2,66,389,157,156639,0.000000
2,67,182,126,157025,174.000000
2,68,700,137,157204,0.000000
2,69,178,355,157903,193.000000
2,70,1970,560,158078,119.000000
2,71,645,158,160047,117.000000
2,72,876,1018,160691,8137.000000
2,73,3985,188,161566,0.000000
2,74,197,177,165550,1790.000000
2,75,3992,93,165744,0.000000
2,76,243,733,169735,0.000000
