request_id,session_id,round_idx,arrival_time_ms,prefix_len,input_len,output_len,tool_wait_after_ms
session_1_round_000028,1,28,1073.029026,76706,3044,551,53848.000000
session_1_round_000029,1,29,1073.029026,79749,659,228,58.000000
session_1_round_000030,1,30,1073.029026,80407,3262,150,273.000000
session_1_round_000031,1,31,1073.029026,83668,2818,3057,253943.000000
session_1_round_000032,1,32,1073.029026,86485,3149,2288,38004.000000
session_1_round_000033,1,33,1073.029026,89633,2582,589,10323.000000
session_1_round_000034,1,34,1073.029026,92214,613,322,166859.000000
session_1_round_000035,1,35,1073.029026,92826,865,355,310495.000000
session_1_round_000036,1,36,1073.029026,0,94804,817,31498.000000
session_1_round_000037,1,37,1073.029026,94803,4286,387,17331.000000
session_1_round_000038,1,38,1073.029026,99088,779,1990,1977621.000000
session_1_round_000039,1,39,1073.029026,0,101832,2094,11538.000000
session_1_round_000040,1,40,1073.029026,101831,2157,2642,100.000000
session_1_round_000041,1,41,1073.029026,103987,3466,144,97.000000
session_1_round_000042,1,42,1073.029026,107452,1505,1310,3798.000000
session_1_round_000043,1,43,1073.029026,108956,1375,471,15106.000000
session_1_round_000044,1,44,1073.029026,110330,618,382,7981.000000
session_1_round_000045,1,45,1073.029026,110947,1000,2006,65.000000
session_1_round_000046,1,46,1073.029026,111946,2781,862,27836.000000
session_1_round_000047,1,47,1073.029026,114726,945,745,330539.000000
session_1_round_000048,1,48,1073.029026,0,116532,837,244380.000000
session_1_round_000049,1,49,1073.029026,116531,899,327,8468.000000
session_1_round_000050,1,50,1073.029026,117429,346,242,5579.000000
session_1_round_000051,1,51,1073.029026,117774,267,203,3962.000000
session_1_round_000052,1,52,1073.029026,118040,541,1287,571112.000000
session_1_round_000053,1,53,1073.029026,0,119967,593,124316.000000
session_1_round_000054,1,54,1073.029026,119966,696,560,421210.000000
session_1_round_000055,1,55,1073.029026,0,121447,209,104735.000000
session_1_round_000056,1,56,1073.029026,121446,290,284,186184.000000
session_1_round_000057,1,57,1073.029026,121735,403,408,325635.000000
session_1_round_000058,1,58,1073.029026,0,122645,186,125.000000
session_1_round_000059,1,59,1073.029026,122644,349,877,58873.000000
session_1_round_000060,1,60,1073.029026,122992,946,388,497826.000000
session_1_round_000061,1,61,1073.029026,0,124491,359,225736.000000
session_1_round_000062,1,62,1073.029026,124490,736,243,32839.000000
session_1_round_000063,1,63,1073.029026,125225,796,1308,147076.000000
session_1_round_000064,1,64,1073.029026,126020,1356,299,36558.000000
session_1_round_000065,1,65,1073.029026,127375,2476,664,37193.000000
session_1_round_000066,1,66,1073.029026,129850,3167,1961,272348.000000
session_1_round_000067,1,67,1073.029026,133016,2167,299,610814.000000
session_1_round_000068,1,68,1073.029026,0,135581,152,212062.000000
session_1_round_000069,1,69,1073.029026,135580,485,120,68.000000
session_1_round_000070,1,70,1073.029026,136064,163,165,2294065.000000
session_1_round_000071,1,71,1073.029026,0,136661,350,28864.000000
session_1_round_000072,1,72,1073.029026,136660,585,70,84.000000
session_1_round_000073,1,73,1073.029026,137244,89,500,88.000000
session_1_round_000074,1,74,1073.029026,137332,525,148,81.000000
session_1_round_000075,1,75,1073.029026,137856,197,844,51.000000
session_1_round_000076,1,76,1073.029026,138052,899,214,0.000000
session_1_round_000077,1,77,1073.029026,138950,227,3910,6648.000000
session_1_round_000078,1,78,1073.029026,139174,4030,59,0.000000
session_1_round_000079,1,79,1073.029026,0,144479,860,10970.000000
session_1_round_000080,1,80,1073.029026,144476,1038,208,5584.000000
session_1_round_000081,1,81,1073.029026,145513,363,77,2533.000000
session_1_round_000082,1,82,1073.029026,145875,305,462,0.000000
session_1_round_000083,1,83,1073.029026,146179,476,214,3417.000000
session_1_round_000084,1,84,1073.029026,146652,373,598,5448.000000
session_1_round_000085,1,85,1073.029026,147024,1950,1113,21441.000000
session_1_round_000086,1,86,1073.029026,148973,1198,16,0.000000
session_1_round_000087,1,87,1073.029026,150170,712,408,12391.000000
session_1_round_000088,1,88,1073.029026,150879,1176,1179,43449.000000
session_1_round_000089,1,89,1073.029026,152054,1608,2587,120.000000
session_1_round_000090,1,90,1073.029026,153661,2629,72,97.000000
session_1_round_000091,1,91,1073.029026,153661,2719,499,66038.000000
session_1_round_000092,1,92,1073.029026,156379,584,525,46020.000000
session_1_round_000093,1,93,1073.029026,156962,783,475,77595.000000
session_1_round_000094,1,94,1073.029026,157744,558,345,154577.000000
session_1_round_000095,1,95,1073.029026,158301,463,827,52439.000000
session_1_round_000096,1,96,1073.029026,158763,938,350,5392.000000
session_1_round_000097,1,97,1073.029026,159700,457,489,5157.000000
session_1_round_000098,1,98,1073.029026,160156,896,1007,8059.000000
session_1_round_000099,1,99,1073.029026,161051,1293,1652,7050541.000000
session_1_round_000100,1,100,1073.029026,0,167099,220,86.000000
session_1_round_000101,1,101,1073.029026,167096,270,77,88.000000
session_1_round_000102,1,102,1073.029026,167365,105,84,55.000000
session_1_round_000103,1,103,1073.029026,167365,1793,1658,18707.000000
session_1_round_000104,1,104,1073.029026,169157,1704,133,0.000000
session_1_round_000105,1,105,1073.029026,170860,387,1926,104.000000
session_1_round_000106,1,106,1073.029026,171244,3505,1197,78.000000
session_1_round_000107,1,107,1073.029026,174748,1244,50,0.000000
session_1_round_000108,1,108,1073.029026,176039,99,1114,97.000000
session_1_round_000109,1,109,1073.029026,176135,1182,464,73.000000
session_1_round_000110,1,110,1073.029026,177316,566,309,116.000000
session_1_round_000111,1,111,1073.029026,177881,363,26,0.000000
session_1_round_000112,1,112,1073.029026,178243,99,110,0.000000
session_1_round_000113,1,113,1073.029026,178339,948,1766,99.000000
session_1_round_000114,1,114,1073.029026,179284,1822,306,95.000000
session_1_round_000115,1,115,1073.029026,181105,353,286,79.000000
session_1_round_000116,1,116,1073.029026,181457,333,68,0.000000
session_1_round_000117,1,117,1073.029026,181858,199,378,51.000000
session_1_round_000118,1,118,1073.029026,182054,446,41,0.000000
session_2_round_000000,2,0,1381.482170,0,29372,329,6521.000000
session_2_round_000001,2,1,1381.482170,29369,659,150,809.000000
session_2_round_000002,2,2,1381.482170,29963,34826,199,79.000000
session_2_round_000003,2,3,1381.482170,60536,6161,3836,0.000000
session_2_round_000004,2,4,1381.482170,70530,260,217,603.000000
session_2_round_000005,2,5,1381.482170,70787,6965,317,74.000000
session_2_round_000006,2,6,1381.482170,77751,2429,131,79.000000
session_2_round_000007,2,7,1381.482170,80179,271,122,39.000000
session_2_round_000008,2,8,1381.482170,80449,544,782,63.000000
session_2_round_000009,2,9,1381.482170,80992,1909,990,0.000000
session_2_round_000010,2,10,1381.482170,83888,36,152,95.000000
session_2_round_000011,2,11,1381.482170,83921,311,119,72.000000
session_2_round_000012,2,12,1381.482170,84231,204,152,83.000000
session_2_round_000013,2,13,1381.482170,84231,376,1622,58.000000
session_2_round_000014,2,14,1381.482170,84606,3607,771,398330.000000
session_2_round_000015,2,15,1381.482170,0,89235,288,472.000000
session_2_round_000016,2,16,1381.482170,89232,2526,1323,12230.000000
session_2_round_000017,2,17,1381.482170,89561,3701,242,3833.000000
session_2_round_000018,2,18,1381.482170,93261,313,411,6525.000000
session_2_round_000019,2,19,1381.482170,93573,463,421,2503.000000
session_2_round_000020,2,20,1381.482170,94035,473,425,2191.000000
session_2_round_000021,2,21,1381.482170,94507,477,95,73.000000
session_2_round_000022,2,22,1381.482170,94507,2879,274,0.000000
session_2_round_000023,2,23,1381.482170,97657,148,321,879.000000
session_2_round_000024,2,24,1381.482170,97802,522,247,126556.000000
session_2_round_000025,2,25,1381.482170,98323,488,211,283.000000
session_2_round_000026,2,26,1381.482170,98708,2516,363,1825.000000
session_2_round_000027,2,27,1381.482170,99763,6835,630,97.000000
session_2_round_000028,2,28,1381.482170,103971,12769,451,13525.000000
session_2_round_000029,2,29,1381.482170,116739,1615,474,5399.000000
session_2_round_000030,2,30,1381.482170,118353,1100,316,5980.000000
session_2_round_000031,2,31,1381.482170,119452,1164,5092,25312.000000
session_2_round_000032,2,32,1381.482170,120615,5203,177,3171.000000
session_2_round_000033,2,33,1381.482170,125817,703,193,4848.000000
session_2_round_000034,2,34,1381.482170,126519,212,273,3159.000000
session_2_round_000035,2,35,1381.482170,126730,292,346,18825.000000
session_2_round_000036,2,36,1381.482170,127021,1236,229,2886.000000
session_2_round_000037,2,37,1381.482170,128256,1087,191,3245.000000
session_2_round_000038,2,38,1381.482170,129342,491,153,3728.000000
session_2_round_000039,2,39,1381.482170,129832,1134,197,5015.000000
session_2_round_000040,2,40,1381.482170,130965,216,202,7536.000000
session_2_round_000041,2,41,1381.482170,131180,604,157,5960.000000
session_2_round_000042,2,42,1381.482170,131783,1279,178,3907.000000
session_2_round_000043,2,43,1381.482170,133061,263,201,3464.000000
session_2_round_000044,2,44,1381.482170,133323,707,161,3209.000000
session_2_round_000045,2,45,1381.482170,134029,433,1433,65.000000
session_2_round_000046,2,46,1381.482170,134461,1753,189,325084.000000
session_2_round_000047,2,47,1381.482170,0,136468,366,6989.000000
session_2_round_000048,2,48,1381.482170,136467,450,403,6082.000000
session_2_round_000049,2,49,1381.482170,136916,530,176,4286.000000
session_2_round_000050,2,50,1381.482170,137445,202,658,0.000000
session_2_round_000051,2,51,1381.482170,138302,254,135,123.000000
session_2_round_000052,2,52,1381.482170,138553,156,268,2884.000000
session_2_round_000053,2,53,1381.482170,138708,3552,993,92118.000000
session_2_round_000054,2,54,1381.482170,142259,1418,914,13944.000000
session_2_round_000055,2,55,1381.482170,143676,960,149,4424.000000
session_2_round_000056,2,56,1381.482170,144635,174,258,0.000000
session_2_round_000057,2,57,1381.482170,145064,44,353,889.000000
session_2_round_000058,2,58,1381.482170,145105,620,303,113.000000
session_2_round_000059,2,59,1381.482170,145674,1238,770,31886.000000
session_2_round_000060,2,60,1381.482170,146911,808,422,9493.000000
session_2_round_000061,2,61,1381.482170,147718,755,2503,15694.000000
session_2_round_000062,2,62,1381.482170,148472,3809,1877,3376.000000
session_2_round_000063,2,63,1381.482170,152280,1914,561,9564.000000
session_2_round_000064,2,64,1381.482170,154193,592,176,4082.000000
session_2_round_000065,2,65,1381.482170,154784,1856,366,0.000000
session_2_round_000066,2,66,1381.482170,156639,389,157,0.000000
session_2_round_000067,2,67,1381.482170,157025,182,126,174.000000
session_2_round_000068,2,68,1381.482170,157204,700,137,0.000000
session_2_round_000069,2,69,1381.482170,157903,178,355,193.000000
session_2_round_000070,2,70,1381.482170,158078,1970,560,119.000000
session_2_round_000071,2,71,1381.482170,160047,645,158,117.000000
session_2_round_000072,2,72,1381.482170,160691,876,1018,8137.000000
session_2_round_000073,2,73,1381.482170,161566,3985,188,0.000000
session_2_round_000074,2,74,1381.482170,165550,197,177,1790.000000
session_2_round_000075,2,75,1381.482170,165744,3992,93,0.000000
session_2_round_000076,2,76,1381.482170,169735,243,733,0.000000
